Department,DocumentType,Geography,Technology,Domain,Client,FileType,Description,Link
TFTPL,Case Study,UAE,Mobile App Dev,Healthcare,,Powerpoint,,https://docs.google.com/presentation/d/1tb6ZlKul1FGVHUUX9WLYEYDX1H4CjH8U/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,Web App Dev,Fin-Tech,,Powerpoint,,https://docs.google.com/presentation/d/13Zr35OpqH_5f0C6_Uaa11mxCnJrtdixV/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Corporate Deck,Global,General,General,WithClient,Powerpoint,Corporate Deck shareable to anyone except UAE and Israel - With Clientele,https://docs.google.com/presentation/d/1FyE2rET0suRe5ym2yhvTl_2p4nam_v3x/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,Mobile App Dev,Healthcare,,Powerpoint,,https://docs.google.com/presentation/d/1IrN4zJoCCVIntCIr5uvR24ezzIEKtN7k/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,Mobile App Dev,Agri-Tech,,Powerpoint,,https://docs.google.com/presentation/d/1lSM1w0NSyn007X1yxfphjTLepbmxWLS1/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,Global,Performance Testing,Automobile,,Powerpoint,,https://docs.google.com/presentation/d/1vATUgQv2RSBPmv19s6UvhcoitLQhj203/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Presentation,UAE,Salesforce,General,,Powerpoint,,https://docs.google.com/presentation/d/11prQUaWMEpih2pJqKZ8BqVvE2wegK7Tp/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Case Study,UAE,Security,General,,Powerpoint,,https://docs.google.com/presentation/d/19iIR1NN6M0MHfLTkK5Y_2qx4EZCcVHZj/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Corporate Deck,Global,General,General,WithoutClient,Powerpoint,Corporate Deck shareable to anyone except UAE and Israel - Without Clientele,https://docs.google.com/presentation/d/1KOXBjwmrRamvaSAtYFyp-QnOxfvcomUZ/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
TFTPL,Corporate Deck,UAE,General,General,WithClient,Powerpoint,UAE Specific Corporate Deck with Clientele,https://docs.google.com/presentation/d/1zOdZOex_Kpz5bIeCD3ddUARKXNyQ2f6i/edit?usp=sharing&ouid=101211574375139153412&rtpof=true&sd=true
